Potential_Buyer,Target,bid,TP,Success,Round
GOOD SAMARITAN HOSPITAL MEDICAL CENTER,PENINSULA HOSPITAL CENTER,55203160.33,5,No,2
NEW YORK-PRESBYTERIAN HOSPITAL,MOUNT SINAI HOSPITAL,1846539688,5,No,2
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,166103306.2,5,No,2
MOUNT SINAI HOSPITAL,NEW YORK-PRESBYTERIAN HOSPITAL,2814554579,5,No,2
LINCOLN MEDICAL & MENTAL HEALTH CENTER,NEW YORK-PRESBYTERIAN HOSPITAL,2897176009,5,No,2
BELLEVUE HOSPITAL CENTER,NEW YORK-PRESBYTERIAN HOSPITAL,2921685410,5,No,2
KINGS COUNTY HOSPITAL CENTER,LENOX HILL HOSPITAL,276825118.4,5,No,2
LONG ISLAND JEWISH MEDICAL CENTER,JACOBI MEDICAL CENTER,469191156.3,5,No,2
STATEN ISLAND UNIVERSITY HOSPITAL,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,523554140.3,5,No,2
MONTEFIORE MEDICAL CENTER,MAIMONIDES MEDICAL CENTER,911496016.9,5,No,2
BETH ISRAEL MEDICAL CENTER,MAIMONIDES MEDICAL CENTER,961447776,5,No,2
SOUTH NASSAU COMMUNITIES HOSPITAL,MAIMONIDES MEDICAL CENTER,886717457.4,5,No,2
ST BARNABAS HOSPITAL,MAIMONIDES MEDICAL CENTER,945964064.1,5,No,2
HOSPITAL FOR SPECIAL SURGERY,CONEY ISLAND HOSPITAL,469558761.7,5,No,2
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),CONEY ISLAND HOSPITAL,452149610.4,5,No,2
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,CONEY ISLAND HOSPITAL,455504693.1,5,No,2
"ST FRANCIS HOSPITAL, ROSLYN",LONG BEACH MEDICAL CENTER,44448022.78,5,No,2
UNIVERSITY HOSPITAL ( STONY BROOK ),LONG BEACH MEDICAL CENTER,42610060.45,5,No,2
NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,QUEENS HOSPITAL CENTER,117660377.8,5,No,2
ST JOSEPH HOSPITAL,QUEENS HOSPITAL CENTER,126545592.9,5,No,2
ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,QUEENS HOSPITAL CENTER,117528338.1,5,No,2
GLEN COVE HOSPITAL,LUTHERAN MEDICAL CENTER,436212571.1,5,No,2
NYU HOSPITALS CENTER,LUTHERAN MEDICAL CENTER,402975792.4,5,No,2
JAMAICA HOSPITAL MEDICAL CENTER,NEW YORK WESTCHESTER SQUARE MEDICAL CENTER,29361493.22,5,No,2
SOUTHSIDE HOSPITAL,FOREST HILLS HOSPITAL,66469057.22,5,No,2
NEW YORK METHODIST HOSPITAL,FRANKLIN HOSPITAL,61221463.9,5,No,2
LUTHERAN MEDICAL CENTER,INTERFAITH MEDICAL CENTER,174655650.5,5,No,2
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),JAMAICA HOSPITAL MEDICAL CENTER,610374820.4,6,No,2
UNIVERSITY HOSPITAL ( STONY BROOK ),JAMAICA HOSPITAL MEDICAL CENTER,647548758.9,6,No,2
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,JAMAICA HOSPITAL MEDICAL CENTER,613939221.5,6,No,2
ST BARNABAS HOSPITAL,NEW YORK DOWNTOWN HOSPITAL,195086310.1,6,No,2
LINCOLN MEDICAL & MENTAL HEALTH CENTER,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,865578509.6,6,No,2
NEW YORK METHODIST HOSPITAL,SOUTH NASSAU COMMUNITIES HOSPITAL,243990946.7,6,No,2
STATEN ISLAND UNIVERSITY HOSPITAL,KINGS COUNTY HOSPITAL CENTER,623553043.2,6,No,2
HOSPITAL FOR SPECIAL SURGERY,BROOKDALE HOSPITAL MEDICAL CENTER,417939863.6,6,No,2
JAMAICA HOSPITAL MEDICAL CENTER,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),355290760.9,6,No,2
MONTEFIORE MEDICAL CENTER,UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),359912242.4,6,No,2
SOUTH NASSAU COMMUNITIES HOSPITAL,UNIVERSITY HOSPITAL ( STONY BROOK ),912382731.7,6,No,2
"ST FRANCIS HOSPITAL, ROSLYN",WOODHULL MEDICAL AND MENTAL HEALTH CENTER,472095082.1,6,No,2
BELLEVUE HOSPITAL CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,500123887.2,6,No,2
NYU HOSPITALS CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,503435365.5,6,No,2
CONEY ISLAND HOSPITAL,INTERFAITH MEDICAL CENTER,188778899.6,6,No,2
"ST FRANCIS HOSPITAL, ROSLYN",NEW YORK-PRESBYTERIAN HOSPITAL,7276581299,7,No,2
ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,LONG ISLAND COLLEGE HOSPITAL,134236243.3,7,No,2
SOUTH NASSAU COMMUNITIES HOSPITAL,STATEN ISLAND UNIVERSITY HOSPITAL,1068730918,7,No,2
PECONIC BAY MEDICAL CENTER,SOUND SHORE MEDICAL CENTER OF WESTSCHESTER,77839188.54,7,No,2
NYU HOSPITALS CENTER,CONEY ISLAND HOSPITAL,1989199009,7,No,2
LINCOLN MEDICAL & MENTAL HEALTH CENTER,HOSPITAL FOR SPECIAL SURGERY,964670339.3,7,No,2
BELLEVUE HOSPITAL CENTER,ST JOSEPH HOSPITAL,486794176.7,7,No,2
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,145307545.9,7,No,2
MONTEFIORE MEDICAL CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,389449451.5,7,No,2
GOOD SAMARITAN HOSPITAL MEDICAL CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,398317434.8,7,No,2
CONEY ISLAND HOSPITAL,INTERFAITH MEDICAL CENTER,197356455.3,7,No,2
MERCY MEDICAL CENTER,MONTEFIORE MEDICAL CENTER,4200716452,8,No,2
KINGSBROOK JEWISH MEDICAL CENTER,EASTERN LONG ISLAND HOSPITAL,109501542,8,No,2
NEW YORK METHODIST HOSPITAL,GLEN COVE HOSPITAL,349177866.9,8,No,2
MONTEFIORE MEDICAL CENTER,KINGSBROOK JEWISH MEDICAL CENTER,140141078.3,8,No,2
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,KINGSBROOK JEWISH MEDICAL CENTER,158675029.9,8,No,2
GOOD SAMARITAN HOSPITAL MEDICAL CENTER,NEW YORK METHODIST HOSPITAL,825299356.6,8,No,2
KINGSBROOK JEWISH MEDICAL CENTER,EASTERN LONG ISLAND HOSPITAL,101621376.6,9,No,2
GOOD SAMARITAN HOSPITAL MEDICAL CENTER,KINGSBROOK JEWISH MEDICAL CENTER,162246768.3,9,No,2
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,KINGSBROOK JEWISH MEDICAL CENTER,152837641.4,9,No,2
HOSPITAL FOR SPECIAL SURGERY,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",53753389.73,4,No,3
HUNTINGTON HOSPITAL,ST LUKE'S ROOSEVELT HOSPITAL,939957379.2,4,No,3
WINTHROP-UNIVERSITY HOSPITAL,NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,537978078.1,4,No,3
BRONX-LEBANON HOSPITAL CENTER,JACOBI MEDICAL CENTER,255855971,4,No,3
MONTEFIORE MEDICAL CENTER,WINTHROP-UNIVERSITY HOSPITAL,728612696.3,4,No,3
NEW YORK-PRESBYTERIAN HOSPITAL,BETH ISRAEL MEDICAL CENTER,1475845868,4,No,3
SOUTH NASSAU COMMUNITIES HOSPITAL,"ST FRANCIS HOSPITAL, ROSLYN",503080124.1,4,No,3
GOOD SAMARITAN HOSPITAL MEDICAL CENTER,"ST FRANCIS HOSPITAL, ROSLYN",492564637.4,4,No,3
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,"ST FRANCIS HOSPITAL, ROSLYN",524125881.5,4,No,3
ST JOSEPH HOSPITAL,METROPOLITAN HOSPITAL CENTER,132776083.2,4,No,3
NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,KINGSBROOK JEWISH MEDICAL CENTER,88082485.93,4,No,3
NEW YORK DOWNTOWN HOSPITAL,KINGSBROOK JEWISH MEDICAL CENTER,87079566.37,4,No,3
NORTH SHORE UNIVERSITY HOSPITAL,KINGSBROOK JEWISH MEDICAL CENTER,91620219.85,4,No,3
NORTH CENTRAL BRONX HOSPITAL,KINGSBROOK JEWISH MEDICAL CENTER,90040984.2,4,No,3
LUTHERAN MEDICAL CENTER,BROOKDALE HOSPITAL MEDICAL CENTER,415173160.8,4,No,3
LINCOLN MEDICAL & MENTAL HEALTH CENTER,NEW YORK METHODIST HOSPITAL,565861345.2,4,No,3
LENOX HILL HOSPITAL,NEW YORK METHODIST HOSPITAL,578394173.6,4,No,3
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,NEW YORK METHODIST HOSPITAL,581575300.6,4,No,3
CONEY ISLAND HOSPITAL,NEW YORK METHODIST HOSPITAL,601203567.3,4,No,3
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),NEW YORK METHODIST HOSPITAL,596351936.5,4,No,3
UNIVERSITY HOSPITAL ( STONY BROOK ),NEW YORK METHODIST HOSPITAL,611803903.2,4,No,3
STATEN ISLAND UNIVERSITY HOSPITAL,HOSPITAL FOR SPECIAL SURGERY,479615141.7,4,No,3
NEW YORK METHODIST HOSPITAL,HOSPITAL FOR SPECIAL SURGERY,488029254,4,No,3
"ST FRANCIS HOSPITAL, ROSLYN",LUTHERAN MEDICAL CENTER,357831601.6,4,No,3
LONG ISLAND JEWISH MEDICAL CENTER,LUTHERAN MEDICAL CENTER,378177246.2,4,No,3
PENINSULA HOSPITAL CENTER,NORTH CENTRAL BRONX HOSPITAL,82214611.1,4,No,3
"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",NORTH CENTRAL BRONX HOSPITAL,77879100.88,4,No,3
PECONIC BAY MEDICAL CENTER,NORTH CENTRAL BRONX HOSPITAL,83244214.21,4,No,3
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,NORTH CENTRAL BRONX HOSPITAL,89852081.04,4,No,3
BETH ISRAEL MEDICAL CENTER,NORTH CENTRAL BRONX HOSPITAL,82921171.08,4,No,3
GLEN COVE HOSPITAL,NORTH CENTRAL BRONX HOSPITAL,92949918.7,4,No,3
ST BARNABAS HOSPITAL,NORTH CENTRAL BRONX HOSPITAL,79486183.65,4,No,3
MOUNT SINAI HOSPITAL,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,548694899.8,4,No,3
ELMHURST HOSPITAL CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,524154219.6,4,No,3
MAIMONIDES MEDICAL CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,555877741.1,4,No,3
NYU HOSPITALS CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,544049122.3,4,No,3
HARLEM HOSPITAL CENTER,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,523522156,4,No,3
ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,INTERFAITH MEDICAL CENTER,137018730.9,4,No,3
MOUNT SINAI HOSPITAL,PENINSULA HOSPITAL CENTER,46673493.1,5,No,3
JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,PENINSULA HOSPITAL CENTER,51879627.31,5,No,3
GOOD SAMARITAN HOSPITAL MEDICAL CENTER,PENINSULA HOSPITAL CENTER,54460035.02,5,No,3
LONG ISLAND JEWISH MEDICAL CENTER,BRONX-LEBANON HOSPITAL CENTER,1013965842,5,No,3
NORTH SHORE UNIVERSITY HOSPITAL,MOUNT SINAI HOSPITAL,1841170156,5,No,3
ELMHURST HOSPITAL CENTER,MOUNT SINAI HOSPITAL,1921155415,5,No,3
BELLEVUE HOSPITAL CENTER,HUNTINGTON HOSPITAL,858195227.1,5,No,3
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),LINCOLN MEDICAL & MENTAL HEALTH CENTER,376161066.7,5,No,3
